"","metabolite_name","metabolite_id","refmet_name"
"ME104202","10-Desacetyltaxuyunnanin C","ME104202",""
"ME104203","10-Hydroxydecanoic acid","ME104203","10-Hydroxydecanoic acid"
"ME104204","10-Oxodecanoate_1","ME104204","10-Oxodecanoic acid"
"ME104205","10-Oxodecanoate_2","ME104205","10-Oxodecanoic acid"
"ME104206","11beta,21-Dihydroxy-5beta-pregnane-3,20-dione","ME104206","11beta,21-Dihydroxy-5beta-pregnane-3,20-dione"
"ME104182","1,1-Dichloroethylene epoxide","ME104182",""
"ME104207","11-Hydroxycanthin-6-one","ME104207","Amalorin"
"ME104208","11-O-Demethylpradimicinone I","ME104208",""
"ME104176","1-(1-Oxopropyl)-1H-imidazole","ME104176","N-Propanoylimidazole"
"ME104183","1,2,3-Trihydroxybenzene_1","ME104183","1,2,3-Trihydroxybenzene"
"ME104184","1,2,3-Trihydroxybenzene_2","ME104184","1,2,3-Trihydroxybenzene"
"ME104185","1,2,3-Trihydroxybenzene_3","ME104185","1,2,3-Trihydroxybenzene"
"ME104186","1,2,6-Hexanetriol","ME104186",""
"ME104209","12alpha-Hydroxyamoorstatin","ME104209",""
"ME104187","1,2-Diamino-4-nitrobenzene_1","ME104187",""
"ME104188","1,2-Diamino-4-nitrobenzene_2","ME104188",""
"ME104189","1,2-Diamino-4-nitrobenzene_3","ME104189",""
"ME104190","1,2-Dihydrosantonin_1","ME104190","1,2-Dihydrosantonin"
"ME104191","1,2-Dihydrosantonin_2","ME104191","1,2-Dihydrosantonin"
"ME104192","1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one","ME104192","1,2-Dihydroxy-3-keto-5-methylthiopentene"
"ME104193","1,2-Dihydroxydibenzothiophene","ME104193","1,2-Dihydroxydibenzothiophene"
"ME104210","12-Hydroxydodecanoic acid_1","ME104210","12-Hydroxy lauric acid"
"ME104211","12-Hydroxydodecanoic acid_2","ME104211","12-Hydroxy lauric acid"
"ME104194","1,3,7-Trimethyluric acid","ME104194","1,3,7-Trimethyluric acid"
"ME104195","1,3,8-Naphthalenertriol_1","ME104195","Naphthalene-1,3,8-triol"
"ME104196","1,3,8-Naphthalenertriol_2","ME104196","Naphthalene-1,3,8-triol"
"ME104197","1,3,8-Naphthalenertriol_3","ME104197","Naphthalene-1,3,8-triol"
"ME104198","1,3-Dichloro-2-propanol","ME104198",""
"ME104199","1,4-Naphthoquinone","ME104199","Naphthoquinone"
"ME104200","1,5-Naphthalene diisocyanate","ME104200",""
"ME104177","1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide","ME104177","AICAR"
"ME104178","1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide","ME104178",""
