"","a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","b1","b10","b11","b12","b13","b14","b15","b16","b17","b2","b4","b6","b7","b8","b9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
"ME105925",215000,310000,798000,1070000,228000,241000,1180000,15100,255000,411000,463000,242000,1010000,702000,44600,941000,757000,612000,858000,185000,671000,1140000,108000,383000,593000,7240000,494000,812000,1290000,66000,136000,1060000,1050000,464000,1460000,636000,4510000,146000,4e+05,783000,213000,816000,587000,319000,102000
"ME105926",336000,617000,2480000,1180000,623000,357000,422000,104000,160000,1130000,468000,257000,11400000,768000,124000,785000,798000,12100000,2760000,697000,874000,1690000,148000,1060000,1130000,3340000,223000,993000,7320000,428000,281000,1450000,1260000,747000,625000,1180000,911000,365000,183000,489000,756000,592000,540000,3e+05,469000
"ME105922",1220000,6920000,18700000,1320000,1230000,1980000,6980000,716000,761000,2910000,11300000,689000,1350000,1130000,479000,8300000,6790000,20800000,320000,1290000,1580000,2340000,1180000,1260000,1.5e+07,495000,58100,1350000,1860000,698000,652000,2200000,7380000,187000,1430000,9730000,11200000,6660000,1830000,15100000,971000,574000,4590000,9730000,644000
"ME105923",710000,425000,1720000,1040000,391000,189000,559000,272000,186000,1.7e+07,2710000,232000,622000,712000,218000,1050000,606000,2980000,604000,742000,343000,751000,650000,494000,4540000,1040000,201000,414000,7820000,319000,356000,760000,833000,915000,697000,656000,740000,478000,337000,4150000,718000,485000,181000,2030000,216000
"ME105924",644,1060,1500,NA,818,660,754,695,562,851,766,637,846,NA,618,1500,890,16200000,1250,968,657,809,767,826,2810,1140,1010,635,1280,664,546,926,8e+05,NA,NA,809,1380,982,625,1790,626,991,1600,949,756
"ME105927",17700,394000,4230000,3740000,361000,63300,2090000,37400,13400,260000,347000,151000,1080000,5080,2140,276000,35700,631000,369000,242000,472000,5320000,18000,243000,131000,158000,208000,228000,119000,58000,266000,627000,3140000,127000,197000,286000,545000,35800,23200,230000,59600,48100,44000,576000,14200
"ME105928",51600,54900,26700000,323000,152000,208000,1400000,76100,16500,374000,491000,81200,1e+06,7e+06,22400,706000,121000,11600000,164000,424000,749000,267000,3050000,99100,136000,452000,75600,132000,341000,119000,1500000,171000,331000,198000,110000,178000,791000,44100,57100,150000,29500,126000,646000,291000,58900
"ME105920",4350,1450,NA,56200,3700,8360,2590,1390,1090,30400,2340,2930,7060,2830,NA,6340,34100,31900,9440,92600,6740,14400,8180,8980,4610,10100,8180,5920,1950,1810,NA,4460,NA,3190,22900,49200000,NA,6930,1730,2400,3450,2880,2450,11200,3570
"ME105929",231000,209000,2020000,4490000,716000,627000,1110000,93600,167000,448000,943000,234000,459000,1220000,79700,1990000,449000,1490000,1970000,1040000,822000,3950000,128000,1050000,551000,5550000,676000,644000,757000,97400,652000,1010000,1450000,1080000,701000,484000,17600000,111000,294000,1640000,1370000,853000,719000,829000,99200
"ME105930",NA,1220,4940,5490,NA,NA,NA,1030,NA,NA,1400,1070,989,5610,NA,1630,NA,NA,NA,907,1070,2190,NA,NA,NA,NA,NA,1290,1060,NA,NA,NA,NA,NA,1100,1930,4210,NA,NA,2670,NA,NA,2660,NA,NA
"ME105921",NA,715,1320,1670,3240,683,1180,1240,80800,NA,NA,881,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8170000,NA,7540,840,NA,NA,NA,981,NA,NA,2200,3970,NA,NA,NA,1710000,NA,1070,NA,NA,NA,NA
"ME105931",15300000,19800000,23400000,41800000,2e+07,3580000,6280000,254000,4550000,29200000,23300000,1510000,19300000,30800000,18900000,33900000,1.6e+07,51200000,21900000,10700000,18800000,20400000,106000,2620000,41100000,23100000,5890000,12600000,26100000,15900000,7810000,18500000,32400000,23500000,7650000,19500000,41100000,128000,3610000,13100000,16900000,36700000,2910000,18300000,17100000
"ME105932",1100000,619000,1.67e+08,598000,952000,237000,28400000,21100,7920,3390000,569000,13200000,1740000,1040000,284000,352000,613000,4480000,1970000,247000,438000,245000,36300,151000,12500000,3180000,1300000,146000,1360000,345000,21900000,102000,1080000,1140000,239000,3670000,1050000,131000,35000,796000,1190000,561000,26600,814000,504000
"ME105900",9670000,7170000,296000,11900,3180000,9380000,2320000,10100,9330000,6600,4580000,22300000,21900000,5310000,5840000,2760000,4340000,98800,117000,10500000,14700000,194000,6320,14300000,722000,679000,13600000,11400000,2200000,10400000,17700000,5820000,3660000,298000,10400000,14800000,87800,11500,11400000,22700,5720000,2040000,1.1e+07,15300000,7460000
