"","a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","b1","b10","b11","b12","b13","b14","b15","b16","b17","b2","b4","b6","b7","b8","b9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
"ME104202",1650,7390,6600,799000,142000,2140,309000,6700,1780,36000,34700,27200,131000,7170,NA,48900,NA,41000,103000,5220,68800,523000,NA,10400,16000,341000,141000,16000,25700,1360,33500,4e+05,58800,56500,5640,15100,70500,4750,2160,34600,1840,19200,4420,696000,2060
"ME104203",NA,2580,27900,52800,8720,NA,21400,NA,NA,57800,18400,2100,2860,8150,NA,5770,4550,91400,26800,NA,2960,14300,1630,3320,33500,151000,NA,4620,7730,NA,NA,18200,29800,34700,4120,5750,737000,NA,NA,14600,11300,10300,4280,2990,NA
"ME104204",135000,56700,911000,1030000,344000,18800,262000,550000,218000,2800000,679000,285000,1460000,512000,22900,913000,3640000,1860000,970000,497000,292000,1190000,207000,810000,879000,845000,41700,788000,2180000,16600,665000,1440000,875000,1200000,271000,1540000,1760000,414000,9890,1250000,967000,1970000,72000,594000,155000
"ME104205",40500,141000,145000,164000,544000,11700,17300,35900,4080,1800000,60600,5120,2e+05,863000,860000,92500,648000,253000,337000,1940000,72000,179000,15100,29900,1120000,897000,22000,33000,157000,449000,56000,406000,127000,1780000,979000,98900,478000,73100,834000,559000,17600,113000,28900,565000,535000
"ME104206",13300,795000,2250000,5200000,954000,242000,314000,507000,127000,270000,227000,261000,904000,490000,23500,418000,1480000,3060000,2530000,1020000,591000,807000,306000,37500,440000,3410000,879000,625000,158000,15500,9570,931000,2620000,5260000,1830000,430000,1130000,271000,293000,585000,2000,2180000,777000,937000,9540
"ME104182",30800,33400,35200,23900,86800,30000,199000,138000,27400,80700,63600,54300,160000,101000,92300,113000,836000,31300,96800,66800,115000,38700,90400,938000,44900,292000,85500,62700,43300,27800,334000,113000,410000,773000,160000,339000,221000,35600,129000,64100,96000,51600,36500,129000,46000
"ME104207",124000,1e+06,144000,990000,924000,351000,555000,141000,426000,486000,1010000,445000,765000,142000,1140000,36700,694000,156000,805000,284000,710000,504000,1250000,133000,173000,103000,733000,623000,148000,906000,222000,665000,841000,1150000,155000,1230000,116000,477000,162000,894000,824000,293000,143000,353000,281000
"ME104208",412000,177000,1630000,5300000,6e+05,250000,1760000,157000,50200,2490000,404000,964000,737000,2730000,24300,2010000,3170000,212000,6610000,1890000,670000,1290000,396000,87900,1330000,4570000,530000,565000,2290000,37900,266000,2350000,903000,5390000,2590000,491000,3970000,1160000,249000,2500000,1560000,4040000,77000,2330000,86100
"ME104176",10600000,152000,84100000,71100000,15400000,21700000,1200000,285000,915000,11700000,20200000,12700000,7420000,50800000,2680000,1.43e+08,20200000,2740000,1.01e+08,36300000,787000,94900000,725000,3270000,3180000,3780000,24900000,10300000,9830000,1700000,2.1e+07,33800000,5030000,14300000,5320000,524000,89400000,735000,1960000,943000,2510000,3.7e+07,28900000,19300000,2970000
"ME104183",11800000,7840000,25600000,21900000,9680000,5050000,45300000,11100000,3920000,52400000,35200000,9680000,10900000,17100000,20900000,50700000,13300000,29400000,20100000,12400000,10400000,36200000,5190000,5240000,61300000,27900000,16400000,7990000,28700000,42800000,17200000,10900000,20500000,2.2e+07,11500000,11100000,86700000,5190000,4720000,87500000,24800000,24400000,9220000,2.8e+07,24700000
