"","local_sample_id","study_id","sample_source","mb_sample_id","raw_data","Treatment_"
"a1","a1","ST000291","Urine","SA013237","","Urine after drinking apple juice"
"a10","a10","ST000291","Urine","SA013236","","Urine after drinking apple juice"
"a11","a11","ST000291","Urine","SA013246","","Urine after drinking apple juice"
"a12","a12","ST000291","Urine","SA013244","","Urine after drinking apple juice"
"a13","a13","ST000291","Urine","SA013245","","Urine after drinking apple juice"
"a14","a14","ST000291","Urine","SA013243","","Urine after drinking apple juice"
"a15","a15","ST000291","Urine","SA013242","","Urine after drinking apple juice"
"a16","a16","ST000291","Urine","SA013240","","Urine after drinking apple juice"
"a17","a17","ST000291","Urine","SA013241","","Urine after drinking apple juice"
"a2","a2","ST000291","Urine","SA013239","","Urine after drinking apple juice"
"a4","a4","ST000291","Urine","SA013238","","Urine after drinking apple juice"
"a6","a6","ST000291","Urine","SA013235","","Urine after drinking apple juice"
"a7","a7","ST000291","Urine","SA013234","","Urine after drinking apple juice"
"a8","a8","ST000291","Urine","SA013232","","Urine after drinking apple juice"
"a9","a9","ST000291","Urine","SA013233","","Urine after drinking apple juice"
"b1","b1","ST000291","Urine","SA013221","","Baseline urine"
"b10","b10","ST000291","Urine","SA013231","","Baseline urine"
"b11","b11","ST000291","Urine","SA013226","","Baseline urine"
"b12","b12","ST000291","Urine","SA013223","","Baseline urine"
"b13","b13","ST000291","Urine","SA013218","","Baseline urine"
"b14","b14","ST000291","Urine","SA013224","","Baseline urine"
"b15","b15","ST000291","Urine","SA013217","","Baseline urine"
"b16","b16","ST000291","Urine","SA013219","","Baseline urine"
"b17","b17","ST000291","Urine","SA013220","","Baseline urine"
"b2","b2","ST000291","Urine","SA013222","","Baseline urine"
"b4","b4","ST000291","Urine","SA013227","","Baseline urine"
"b6","b6","ST000291","Urine","SA013229","","Baseline urine"
"b7","b7","ST000291","Urine","SA013225","","Baseline urine"
"b8","b8","ST000291","Urine","SA013228","","Baseline urine"
"b9","b9","ST000291","Urine","SA013230","","Baseline urine"
"c1","c1","ST000291","Urine","SA013252","","Urine after drinking cranberry juice"
"c10","c10","ST000291","Urine","SA013247","","Urine after drinking cranberry juice"
"c11","c11","ST000291","Urine","SA013255","","Urine after drinking cranberry juice"
"c12","c12","ST000291","Urine","SA013260","","Urine after drinking cranberry juice"
"c13","c13","ST000291","Urine","SA013259","","Urine after drinking cranberry juice"
"c14","c14","ST000291","Urine","SA013258","","Urine after drinking cranberry juice"
"c15","c15","ST000291","Urine","SA013256","","Urine after drinking cranberry juice"
"c16","c16","ST000291","Urine","SA013257","","Urine after drinking cranberry juice"
"c17","c17","ST000291","Urine","SA013261","","Urine after drinking cranberry juice"
"c2","c2","ST000291","Urine","SA013253","","Urine after drinking cranberry juice"
"c4","c4","ST000291","Urine","SA013251","","Urine after drinking cranberry juice"
"c6","c6","ST000291","Urine","SA013250","","Urine after drinking cranberry juice"
"c7","c7","ST000291","Urine","SA013248","","Urine after drinking cranberry juice"
"c8","c8","ST000291","Urine","SA013249","","Urine after drinking cranberry juice"
"c9","c9","ST000291","Urine","SA013254","","Urine after drinking cranberry juice"
